ダウンロードした時刻：2020/12/19 11:55:46

,東京,東京,東京,東京,東京,東京
年月日,最高気温(℃),最高気温(℃),最高気温(℃),最低気温(℃),最低気温(℃),最低気温(℃)
,,,,,,
,,品質情報,均質番号,,品質情報,均質番号
2012/1/1,9.2,8,1,2.9,8,1
2012/1/2,10.9,8,1,3.0,8,1
2012/1/3,10.4,8,1,3.8,8,1
2012/1/4,9.4,8,1,2.0,8,1
2012/1/5,9.7,8,1,1.9,8,1
2012/1/6,9.8,8,1,2.9,8,1
2012/1/7,9.1,8,1,3.1,8,1
2012/1/8,9.6,8,1,2.6,8,1
2012/1/9,9.4,8,1,2.8,8,1
2012/1/10,9.8,8,1,2.5,8,1
2012/1/11,11.1,8,1,2.1,8,1
2012/1/12,7.2,8,1,0.7,8,1
2012/1/13,11.0,8,1,0.0,8,1
2012/1/14,8.9,8,1,2.5,8,1
2012/1/15,6.5,8,1,2.3,8,1
2012/1/16,5.6,8,1,3.0,8,1
2012/1/17,7.9,8,1,2.7,8,1
2012/1/18,9.1,8,1,1.5,8,1
2012/1/19,10.2,8,1,2.5,8,1
2012/1/20,5.7,8,1,1.9,8,1
2012/1/21,3.7,8,1,2.7,8,1
2012/1/22,8.0,8,1,3.2,8,1
2012/1/23,8.2,8,1,0.6,8,1
2012/1/24,5.0,8,1,0.8,8,1
2012/1/25,9.3,8,1,-0.1,8,1
2012/1/26,6.4,8,1,0.5,8,1
2012/1/27,8.0,8,1,-1.0,8,1
2012/1/28,6.1,8,1,-0.1,8,1
2012/1/29,6.8,8,1,1.0,8,1
2012/1/30,6.4,8,1,1.2,8,1
2012/1/31,8.1,8,1,0.2,8,1
2012/2/1,12.4,8,1,0.1,8,1
2012/2/2,6.0,8,1,0.7,8,1
2012/2/3,6.7,8,1,-1.0,8,1
2012/2/4,10.8,8,1,-1.0,8,1
2012/2/5,9.0,8,1,2.6,8,1
2012/2/6,5.9,8,1,3.8,8,1
2012/2/7,10.0,8,1,5.0,8,1
2012/2/8,9.9,8,1,3.8,8,1
2012/2/9,8.1,8,1,0.4,8,1
2012/2/10,9.4,8,1,2.1,8,1
2012/2/11,9.1,8,1,1.1,8,1
2012/2/12,9.5,8,1,1.2,8,1
2012/2/13,9.2,8,1,1.8,8,1
2012/2/14,6.9,8,1,3.7,8,1
2012/2/15,12.7,8,1,4.9,8,1
2012/2/16,5.6,8,1,1.7,8,1
2012/2/17,8.8,8,1,1.1,8,1
2012/2/18,6.4,8,1,0.0,8,1
2012/2/19,7.6,8,1,-0.6,8,1
2012/2/20,10.4,8,1,0.7,8,1
2012/2/21,12.6,8,1,2.9,8,1
2012/2/22,9.8,8,1,5.8,8,1
2012/2/23,11.5,8,1,5.1,8,1
2012/2/24,15.4,8,1,8.3,8,1
2012/2/25,10.2,8,1,3.6,8,1
2012/2/26,9.2,8,1,4.0,8,1
2012/2/27,9.2,8,1,1.9,8,1
2012/2/28,6.9,8,1,0.3,8,1
2012/2/29,5.4,8,1,0.7,8,1
2012/3/1,12.4,8,1,3.3,8,1
2012/3/2,10.4,8,1,4.0,8,1
2012/3/3,11.6,8,1,3.8,8,1
2012/3/4,6.6,8,1,3.5,8,1
2012/3/5,10.1,8,1,2.5,8,1
2012/3/6,15.1,8,1,8.0,8,1
2012/3/7,15.7,8,1,11.0,8,1
2012/3/8,11.1,8,1,7.9,8,1
2012/3/9,9.7,8,1,5.3,8,1
2012/3/10,7.6,8,1,2.0,8,1
2012/3/11,11.1,8,1,4.1,8,1
2012/3/12,12.6,8,1,2.9,8,1
2012/3/13,10.7,8,1,3.4,8,1
2012/3/14,10.4,8,1,3.2,8,1
2012/3/15,13.6,8,1,3.6,8,1
2012/3/16,11.1,8,1,3.3,8,1
2012/3/17,10.3,8,1,4.6,8,1
2012/3/18,11.8,8,1,6.5,8,1
2012/3/19,12.2,8,1,6.4,8,1
2012/3/20,12.1,8,1,4.2,8,1
2012/3/21,11.6,8,1,4.9,8,1
2012/3/22,14.8,8,1,4.2,8,1
2012/3/23,12.2,8,1,7.8,8,1
2012/3/24,11.6,8,1,5.9,8,1
2012/3/25,13.8,8,1,5.1,8,1
2012/3/26,12.1,8,1,4.6,8,1
2012/3/27,14.0,8,1,4.4,8,1
2012/3/28,17.1,8,1,5.9,8,1
2012/3/29,16.3,8,1,7.0,8,1
2012/3/30,19.4,8,1,11.6,8,1
2012/3/31,18.9,8,1,8.4,8,1
2012/4/1,14.7,8,1,5.8,8,1
2012/4/2,14.9,8,1,6.6,8,1
2012/4/3,17.7,8,1,9.7,8,1
2012/4/4,15.2,8,1,8.9,8,1
2012/4/5,20.8,8,1,10.2,8,1
2012/4/6,16.0,8,1,8.0,8,1
2012/4/7,13.8,8,1,5.1,8,1
2012/4/8,13.5,8,1,5.1,8,1
2012/4/9,23.8,8,1,8.0,8,1
2012/4/10,19.2,8,1,13.1,8,1
2012/4/11,18.3,8,1,12.8,8,1
2012/4/12,23.0,8,1,11.3,8,1
2012/4/13,23.0,8,1,12.7,8,1
2012/4/14,12.8,8,1,8.8,8,1
2012/4/15,16.3,8,1,8.7,8,1
2012/4/16,16.6,8,1,8.6,8,1
2012/4/17,19.1,8,1,12.0,8,1
2012/4/18,19.9,8,1,11.2,8,1
